primer	indel_id	orientation	AF16_chrom	AF16_start	AF16_end	AF16_mismatches	CGC2_chrom	CGC2_start	CGC2_end	CGC2_mismatches	gsize
cb-m26_F	cb-m26	F	II	11867382	11867404	0	II	11739359	11739381	0	2
cb-m26_R	cb-m26	R	II	11868059	11868039	0	II	11740036	11740016	0	2
cb-m38_F	cb-m38	F	II	12874824	12874804	0	II	12541042	12541022	0	2
cb-m38_R	cb-m38	R	II	12873990	12874010	0	II	12540208	12540228	0	2
cb-m46_F	cb-m46	F	III	2480905	2480884	0	III	2414112	2414091	0	2
cb-m46_R	cb-m46	R	III	2480159	2480178	0	III	2413366	2413385	0	2
cb-m6_F	cb-m6	F	I	14893285	14893304	0	I	14874656	14874675	0	2
cb-m6_R	cb-m6	R	I	14894214	14894195	0	I	14875586	14875567	0	2
cb-m70_F	cb-m70	F	IV	14453199	14453221	0	IV	14080995	14081017	0	2
cb-m70_R	cb-m70	R	IV	14453792	14453772	0	IV	14081588	14081568	0	2
cb-m74_F	cb-m74	F	IV	15656766	15656745	0	IV	15372498	15372477	0	2
cb-m74_R	cb-m74	R	IV	15656090	15656111	0	IV	15371822	15371843	0	2
cb-m76_F	cb-m76	F	IV	16659620	16659598	0	IV	16520599	16520621	0	2
cb-m76_R	cb-m76	R	IV	16658912	16658933	0	IV	16521307	16521286	0	2
cb-m97_F	cb-m97	F	V	17546522	17546502	0	V	17938665	17938645	0	2
cb-m97_R	cb-m97	R	V	17545932	17545956	0	V	17938075	17938099	0	2
cb-s120_F	cb-s120	F	X	17660308	17660329	0	X	18386968	18386989	0	2
cb-s120_R	cb-s120	R	X	17660607	17660585	0	X	18387267	18387245	0	2
cb-s131_F	cb-s131	F	X	379554	379576	0	X	277238	277216	0	2
cb-s131_R	cb-s131	R	X	379850	379830	0	X	276942	276962	0	2
cb-s155_F	cb-s155	F	III	9511402	9511423	0	III	9646805	9646826	0	2
cb-s155_R	cb-s155	R	III	9511700	9511678	0	III	9647103	9647081	0	2
cb-s162_F	cb-s162	F	IV	16688098	16688117	0	IV	16492829	16492810	0	2
cb-s162_R	cb-s162	R	IV	16688418	16688397	0	IV	16492509	16492530	0	2
cb-s195_F	cb-s195	F	II	6407172	6407149	0	II	6266074	6266051	0	2
cb-s195_R	cb-s195	R	II	6406872	6406893	0	II	6265774	6265795	0	2
cb-s205_F	cb-s205	F	II	3027427	3027450	0	II	2948162	2948185	0	2
cb-s205_R	cb-s205	R	II	3027727	3027706	0	II	2948462	2948441	0	2
cb-s214_F	cb-s214	F	IV	902641	902663	0	IV	965841	965863	0	2
cb-s214_R	cb-s214	R	IV	902939	902917	0	IV	966139	966117	0	2
cb-s24_F	cb-s24	F	II	445750	445772	0	II	500318	500340	0	2
cb-s24_R	cb-s24	R	II	446040	446018	0	II	500608	500586	0	2
cb-s255_F	cb-s255	F	I	13292504	13292525	0	I	13275481	13275502	0	2
cb-s255_R	cb-s255	R	I	13292799	13292778	0	I	13275776	13275755	0	2
cb-s25_F	cb-s25	F	II	100415	100438	0	II	134490	134513	0	2
cb-s25_R	cb-s25	R	II	100713	100693	0	II	134788	134768	0	2
cb-s368_F	cb-s368	F	IV	16987845	16987867	0	IV	16725787	16725809	0	2
cb-s368_R	cb-s368	R	IV	16988145	16988123	0	IV	16726087	16726065	0	2
cb-s381_F	cb-s381	F	V	9005224	9005245	0	V	9407085	9407106	0	2
cb-s381_R	cb-s381	R	V	9005524	9005502	0	V	9407385	9407363	0	2
cb-s386_F	cb-s386	F	IV	14982182	14982204	0	IV	14690934	14690912	0	2
cb-s386_R	cb-s386	R	IV	14982478	14982455	0	IV	14690638	14690661	0	2
cb15251_F	cb15251	F	I	1774454	1774474	0	I	1774747	1774767	0	2
cb15251_R	cb15251	R	I	1775200	1775178	0	I	1775493	1775471	0	2
cb16747_F	cb16747	F	IV	3638702	3638679	0	IV	3634179	3634202	0	2
cb16747_R	cb16747	R	IV	3638416	3638439	0	IV	3634466	3634443	0	2
cb17311_F	cb17311	F	IV	3396357	3396335	0	IV	3230232	3230254	0	2
cb17311_R	cb17311	R	IV	3395923	3395946	0	IV	3230666	3230643	0	2
cb17324_F	cb17324	F	IV	3360965	3360942	0	IV	3265560	3265583	0	2
cb17324_R	cb17324	R	IV	3360692	3360716	0	IV	3265833	3265809	0	2
cb17380_F	cb17380	F	IV	3174425	3174448	0	IV	3442097	3442074	0	2
cb17380_R	cb17380	R	IV	3175043	3175020	0	IV	3441479	3441502	0	2
cb20723_F	cb20723	F	III	2535167	2535187	0	III	2469652	2469672	0	2
cb20723_R	cb20723	R	III	2535913	2535894	0	III	2470398	2470379	0	2
cb39304_F	cb39304	F	V	13838232	13838253	0	V	14183561	14183582	0	2
cb39304_R	cb39304	R	V	13838973	13838951	0	V	14184302	14184280	0	2
cb40232_F	cb40232	F	X	14728267	14728286	0	X	15100078	15100097	0	2
cb40232_R	cb40232	R	X	14728976	14728954	0	X	15100787	15100765	0	2
cb41028_F	cb41028	F	II	3600517	3600495	0	II	3515757	3515735	0	2
cb41028_R	cb41028	R	II	3599767	3599788	0	II	3515007	3515028	0	2
cb43091_F	cb43091	F	II	9189028	9189006	0	II	8995037	8995015	0	2
cb43091_R	cb43091	R	II	9188281	9188303	0	II	8994290	8994312	0	2
cb43262_F	cb43262	F	II	8570203	8570182	0	II	8395602	8395581	0	2
cb43262_R	cb43262	R	II	8569658	8569677	0	II	8395057	8395076	0	2
cb43333_F	cb43333	F	II	8417187	8417166	0	II	8242919	8242898	0	2
cb43333_R	cb43333	R	II	8416449	8416471	0	II	8242181	8242203	0	2
cb43389_F	cb43389	F	II	8306284	8306262	0	II	8130291	8130269	0	2
cb43389_R	cb43389	R	II	8305535	8305557	0	II	8129542	8129564	0	2
cb43421_F	cb43421	F	II	8174601	8174578	0	II	7999312	7999289	0	2
cb43421_R	cb43421	R	II	8174203	8174226	0	II	7998914	7998937	0	2
cb43431_F	cb43431	F	II	8069410	8069388	0	II	7892927	7892905	0	2
cb43431_R	cb43431	R	II	8068660	8068682	0	II	7892177	7892199	0	2
cb43472_F	cb43472	F	II	7957741	7957719	0	II	7783244	7783222	0	2
cb43472_R	cb43472	R	II	7956995	7957017	0	II	7782498	7782520	0	2
cb48850_F	cb48850	F	IV	12874010	12873989	0	IV	12694074	12694053	0	2
cb48850_R	cb48850	R	IV	12873261	12873282	0	IV	12693325	12693346	0	2
cb54953_F	cb54953	F	III	6113809	6113831	0	III	6122958	6122980	0	2
cb54953_R	cb54953	R	III	6114559	6114536	0	III	6123708	6123685	0	2
cb55627_F	cb55627	F	I	11599586	11599608	0	I	11525169	11525191	0	2
cb55627_R	cb55627	R	I	11600276	11600253	0	I	11525859	11525836	0	2
cb56202_F	cb56202	F	IV	15764673	15764652	0	IV	15477908	15477887	0	2
cb56202_R	cb56202	R	IV	15763935	15763955	0	IV	15477169	15477189	0	2
cb64777_F	cb64777	F	II	12281093	12281115	0	II	11411303	11411325	0	2
cb64777_R	cb64777	R	II	12281841	12281819	0	II	11412051	11412029	0	2
cb650_F	cb650	F	I	14661546	14661567	0	I	14655904	14655925	0	2
cb650_R	cb650	R	I	14662295	14662273	0	I	14656652	14656630	0	2
cb8176_F	cb8176	F	IV	2563429	2563452	0	IV	2546779	2546802	0	2
cb8176_R	cb8176	R	IV	2563984	2563962	0	IV	2547334	2547312	0	2
cb8183_F	cb8183	F	IV	2622451	2622474	0	IV	2605797	2605820	0	2
cb8183_R	cb8183	R	IV	2622832	2622809	0	IV	2606178	2606155	0	2
