Site	AF16	DY180	DY22	ECA264	ECA3733	ECA3734	ECA3738	PB420
I:168959	2	2	2	2	2	2	2	2
I:169014	2	2	2	2	2	2	2	2
I:169224	2	2	2	2	2	2	2	2
I:171586	2	2	0	2	2	0	2	2
I:171634	2	2	NA	2	2	NA	2	2
I:171682	2	2	NA	2	2	NA	2	2
I:171762	NA	2	NA	2	NA	NA	NA	NA
I:172163	NA	2	2	2	NA	2	NA	2
I:173066	2	2	2	2	2	2	2	2
I:173127	2	2	2	2	2	2	2	2
I:173512	2	2	2	2	2	2	2	2
I:174384	2	2	2	2	2	2	2	2
I:174652	2	2	2	2	2	2	2	2
I:176323	2	2	2	2	2	2	2	2
I:178313	2	2	2	2	2	2	2	2
I:178318	2	2	2	2	2	2	2	2
I:178880	2	2	2	2	2	2	2	2
I:179244	0	2	2	2	2	2	2	2
I:179475	2	2	2	2	2	2	2	2
I:180660	2	2	2	2	2	2	2	2
I:182089	2	2	2	2	2	2	2	2
I:182099	2	2	2	2	2	2	2	2
I:182468	2	2	2	2	2	2	2	2
I:182607	2	2	2	2	2	2	2	2
I:185005	2	2	2	2	2	2	2	2
I:185006	2	2	2	2	2	2	2	2
I:185268	2	2	2	2	2	2	2	2
I:187556	2	2	2	2	2	2	2	2
I:187608	NA	2	2	2	2	2	2	2
I:187710	2	2	2	2	2	2	2	2
I:187916	2	2	2	2	2	2	2	2
I:188276	2	2	2	2	2	2	2	2
I:188608	2	2	2	2	2	2	2	2
I:189040	2	NA	2	2	2	2	2	2
I:189491	2	2	2	2	2	2	2	2
I:190188	2	2	2	2	2	2	2	2
I:190345	2	2	2	2	2	2	2	2
I:191709	2	2	2	2	2	2	2	2
I:193257	2	2	2	2	2	2	2	2
I:193478	2	2	2	2	2	2	2	2
I:194777	2	2	2	2	2	2	2	2
I:195378	NA	2	2	2	2	2	2	2
I:195451	2	2	2	2	2	2	2	2
I:195706	2	2	2	2	2	2	2	2
I:196782	NA	2	2	2	2	2	2	2
I:197766	2	2	2	2	2	2	2	2
I:199835	NA	2	2	2	2	2	2	2
I:202178	2	2	2	2	2	2	2	2
I:202469	2	2	2	2	2	2	2	2
I:202581	2	2	2	2	2	2	2	2
I:203089	NA	2	2	2	2	2	2	2
I:203126	NA	2	2	2	2	2	2	2
I:203523	NA	2	2	2	2	2	2	2
I:203793	NA	2	2	2	2	2	2	2
I:203857	NA	2	2	2	2	2	2	2
I:204218	NA	2	2	2	2	2	2	2
I:204267	NA	2	2	2	2	2	2	2
I:204538	NA	2	2	2	2	2	2	2
I:204770	NA	2	2	2	2	2	2	2
I:205681	2	2	2	2	2	2	2	2
I:206347	2	2	2	2	2	2	2	2
I:208498	2	2	2	2	2	2	2	2
I:208702	2	2	2	2	2	2	2	2
I:209874	2	2	2	2	2	2	2	2
I:210328	NA	2	2	2	2	2	2	2
I:211390	2	2	2	2	2	2	2	2
I:211927	2	2	2	2	2	2	2	2
I:212173	2	2	2	2	2	2	2	2
I:212696	2	2	2	2	2	2	2	2
I:213663	2	2	2	2	2	2	2	2
I:213768	2	2	2	2	2	2	2	2
I:214271	2	2	2	2	2	2	2	2
I:214278	2	2	2	2	2	2	2	2
I:214429	2	2	2	2	2	2	2	2
I:214566	2	2	2	2	2	2	2	2
I:215042	2	2	2	2	2	2	2	2
I:215405	2	2	2	2	2	2	2	2
I:216608	NA	2	2	2	2	2	2	2
I:216926	NA	2	2	2	2	2	2	2
I:217520	2	2	2	2	2	2	2	2
I:218986	NA	2	2	0	0	2	0	0
I:218991	0	2	2	0	0	2	0	0
I:220150	2	2	2	2	2	2	2	2
I:220639	2	2	2	2	2	2	2	2
I:220955	2	2	2	2	2	2	2	2
I:221121	2	2	2	2	2	2	2	2
I:221172	2	2	2	2	2	2	2	2
I:221240	2	2	2	2	2	2	2	2
I:221731	2	2	2	2	2	2	2	2
I:221808	2	2	2	2	2	2	2	2
I:221892	2	2	2	2	2	2	2	2
I:222790	2	2	2	2	2	2	2	2
I:223576	2	2	2	2	2	2	2	2
I:225785	2	2	2	2	2	2	2	2
I:225930	2	2	2	2	2	2	2	2
I:226014	2	2	2	2	2	2	2	2
I:227240	2	2	2	2	2	2	2	2
I:227951	2	2	2	2	2	2	2	2
I:227968	2	2	2	2	2	2	2	2
I:228087	2	2	2	2	2	2	2	2
I:229001	NA	2	NA	NA	NA	2	NA	NA
I:229572	2	2	2	2	2	2	2	2
I:229940	2	2	2	2	2	2	2	2
I:230238	2	2	2	2	2	2	2	2
I:231214	2	2	2	2	2	2	2	2
I:231338	2	2	2	2	2	2	2	2
I:231480	2	2	2	2	2	2	2	2
I:231702	2	2	2	2	2	2	2	2
I:232003	NA	2	2	2	2	2	2	2
I:232603	2	2	2	2	2	2	2	2
I:232636	2	2	2	2	2	2	2	2
I:232942	2	2	2	2	2	2	2	2
I:233557	2	2	2	2	2	2	2	2
I:233582	2	2	2	2	2	2	2	2
I:233932	2	2	2	2	2	2	2	2
I:234039	2	2	2	2	2	2	2	2
I:234673	NA	2	2	2	2	2	2	2
I:234674	NA	2	2	2	2	2	2	2
I:235542	2	2	2	2	2	2	2	2
I:236450	0	NA	2	2	NA	2	NA	2
I:238617	2	2	2	2	2	2	2	2
I:239043	2	2	2	2	2	2	2	2
I:239830	NA	2	2	2	NA	NA	2	2
I:241095	2	2	2	2	2	2	2	2
I:241718	2	2	2	2	2	2	2	2
I:242181	2	2	2	2	2	2	2	2
I:242441	2	2	2	2	2	2	2	2
I:243172	2	2	2	2	2	2	2	2
I:243726	2	2	2	2	2	2	2	2
I:244410	2	2	2	2	2	2	2	2
I:244574	2	2	2	2	2	2	2	2
I:244822	2	2	2	2	2	2	2	2
I:244845	2	2	2	2	2	2	2	2
I:244993	2	2	2	2	2	2	2	2
I:245210	2	2	2	2	2	2	2	2
I:245488	2	2	2	2	2	2	2	2
I:245571	2	2	2	2	2	2	2	2
I:246051	2	2	2	2	2	2	2	2
I:247561	2	2	2	2	2	2	2	2
I:248821	2	2	2	2	2	2	2	2
I:248862	2	2	2	2	2	2	2	2
I:249667	2	2	2	2	2	2	2	2
I:251946	2	2	2	2	2	2	2	2
I:252023	2	2	2	2	2	2	2	2
I:253657	2	2	2	2	2	2	2	2
I:254659	2	2	2	2	2	2	2	2
I:254678	2	2	2	2	2	2	2	2
I:255158	2	2	2	2	2	2	2	2
I:256805	2	2	2	2	2	2	2	2
I:258745	2	2	2	2	2	2	2	2
I:259011	NA	2	2	2	2	2	2	2
I:259098	NA	2	2	2	2	2	2	2
I:259099	NA	2	2	2	2	2	2	2
I:259100	NA	2	2	2	2	2	2	2
I:259387	2	2	2	2	2	2	2	2
I:259411	2	2	2	2	2	2	2	2
I:259566	2	2	2	2	2	2	2	2
I:259846	2	2	2	2	2	2	2	2
I:261081	2	2	2	2	2	2	2	2
I:261808	2	2	2	2	2	2	2	2
I:267828	2	2	2	2	2	2	2	2
I:267939	2	2	2	2	2	2	2	2
I:269704	2	2	2	2	2	2	2	2
I:270688	NA	2	2	2	2	2	2	2
I:272898	2	2	2	2	2	2	2	2
I:273554	2	2	2	2	2	2	2	2
I:273718	2	2	2	2	2	2	2	2
I:274142	2	2	2	2	2	2	2	2
I:276124	2	2	2	2	2	2	2	2
I:276521	2	2	2	2	2	2	2	2
I:277147	2	2	2	2	2	2	2	2
I:277528	2	2	2	2	2	2	2	2
I:277984	2	2	2	2	2	2	2	2
I:278729	2	2	2	2	2	2	2	2
I:280532	2	2	2	2	2	2	2	2
I:280541	2	2	2	2	2	2	2	2
I:280824	2	2	2	2	2	2	2	2
I:281832	2	2	2	2	2	2	2	2
I:282480	2	2	2	2	2	2	2	2
I:283274	NA	2	2	2	2	2	2	2
I:284707	2	2	2	2	2	2	2	2
I:290343	2	2	2	2	2	2	2	2
I:290960	2	2	2	2	2	2	2	2
I:293608	2	2	2	2	2	2	2	2
I:294000	2	2	2	2	2	2	2	2
I:294007	2	2	2	2	2	2	2	2
I:294074	2	2	2	2	2	2	2	2
I:295364	2	2	2	2	2	2	2	2
I:295692	2	2	2	2	2	2	2	2
I:297567	2	2	2	2	2	2	2	2
I:297658	2	2	2	2	2	2	2	2
I:297878	2	NA	2	2	2	2	NA	2
I:297889	2	NA	2	2	2	2	NA	2
I:297905	2	NA	2	2	2	2	NA	2
I:297922	2	NA	2	2	2	2	NA	2
I:297994	2	2	2	NA	2	2	2	2
I:297998	2	2	2	NA	2	2	2	2
I:298470	2	2	2	2	NA	2	NA	2
I:298610	2	NA	NA	NA	NA	NA	NA	NA
I:298636	2	NA	NA	2	NA	NA	NA	NA
I:299201	2	2	2	2	2	2	2	2
I:299657	NA	2	2	2	2	2	2	2
I:300531	2	2	2	2	2	2	2	2
I:300905	2	2	2	2	2	2	2	2
I:304175	2	2	2	2	2	2	2	2
I:306133	2	2	2	2	2	2	2	2
I:306561	2	2	2	2	2	2	2	2
I:307291	2	2	2	2	2	2	2	2
I:307991	NA	2	2	2	2	2	2	2
I:308149	NA	2	2	2	2	2	2	2
I:308449	2	2	2	2	2	2	2	2
I:308928	2	2	2	2	2	2	2	2
I:309104	2	2	2	2	2	2	2	2
I:309725	2	2	2	2	2	2	2	2
I:310504	2	2	2	2	2	2	2	2
I:310954	2	2	2	2	2	2	2	2
I:312557	2	2	2	2	2	2	2	2
I:312633	2	2	2	2	2	2	2	2
I:313127	2	2	2	2	2	2	2	2
I:313647	2	2	2	2	2	2	2	2
I:314116	2	2	2	2	2	2	2	2
I:314409	2	2	2	2	2	2	2	2
I:314526	NA	0	0	0	0	0	2	0
I:316450	2	2	2	2	2	2	2	2
I:317453	2	2	2	2	2	2	2	2
I:318114	2	2	2	2	2	2	2	2
I:318689	NA	2	2	2	2	2	2	2
I:318697	NA	2	2	2	2	2	2	2
I:318842	NA	2	2	2	2	2	2	2
I:319013	NA	2	2	2	2	2	2	2
I:320034	2	2	2	2	2	2	2	2
I:321581	NA	2	2	2	2	2	2	2
I:321773	NA	2	2	2	2	2	2	2
I:323118	2	2	2	2	2	2	2	2
I:326330	2	2	2	2	2	2	2	2
I:326754	2	2	2	2	2	2	2	2
I:326947	2	2	2	2	2	2	2	2
I:327391	2	2	2	2	2	2	2	2
I:329008	NA	2	2	2	2	2	2	2
I:329134	NA	2	2	2	2	2	2	2
I:330878	2	2	2	2	2	2	2	2
I:331321	2	2	2	2	2	2	2	2
I:331832	2	2	2	2	2	2	2	2
I:332000	2	2	2	2	2	2	2	2
I:333721	2	2	2	2	2	2	2	2
I:334763	2	2	2	2	2	2	2	2
I:335171	2	2	2	2	2	2	2	2
I:336334	2	2	2	2	2	2	2	2
I:336335	2	2	2	2	2	2	2	2
I:336410	2	2	2	2	2	2	2	2
I:336623	2	2	2	2	2	2	2	2
I:336860	2	2	2	2	2	2	2	2
I:337634	2	2	2	2	2	2	2	2
I:339548	2	2	2	2	2	2	2	2
I:339901	2	2	2	2	2	2	2	2
I:340978	2	2	2	2	2	2	2	2
I:342479	2	2	2	2	2	2	2	2
I:342551	2	2	2	2	2	2	2	2
I:343582	2	2	2	2	2	2	2	2
I:344221	2	NA	NA	NA	NA	NA	NA	NA
I:344293	2	NA	NA	NA	NA	NA	NA	NA
I:344569	2	2	2	2	2	2	2	2
I:344571	2	2	2	2	2	2	2	2
I:344649	2	2	2	2	2	2	2	2
I:346065	2	2	2	2	2	2	2	2
I:347047	2	2	2	2	2	2	2	2
I:347695	2	2	2	2	2	2	2	2
I:348140	2	2	2	2	2	2	2	2
I:348699	2	2	2	2	2	2	2	2
I:349289	2	2	2	2	2	2	2	2
I:350624	2	2	2	2	2	2	2	2
I:351031	2	2	2	2	2	2	2	2
I:351454	2	2	2	2	2	2	2	2
I:354923	2	2	2	2	2	2	2	2
I:356325	2	2	2	2	2	2	2	2
I:357135	2	2	2	2	2	2	2	2
I:358897	2	2	2	2	2	2	2	2
I:359171	2	2	2	2	2	2	2	2
I:359987	2	2	2	2	2	2	2	2
I:360066	2	2	2	2	2	2	2	2
I:361782	2	2	2	2	2	2	2	2
I:363022	2	2	2	2	2	2	2	2
I:363157	2	2	2	2	2	2	2	2
I:363261	2	2	2	2	2	2	2	2
I:363793	2	2	2	2	2	2	2	2
I:364473	2	2	2	2	2	2	2	2
I:366231	2	2	2	2	2	2	2	2
I:367521	2	2	2	2	2	2	2	2
I:367836	2	2	2	2	2	2	2	2
I:370762	2	2	2	2	2	2	2	2
I:371462	2	2	2	2	2	2	2	2
I:371810	2	2	2	2	2	2	2	2
I:371813	2	2	2	2	2	2	2	2
I:371821	2	2	2	2	2	2	2	2
I:371826	2	2	2	2	2	2	2	2
I:371829	2	2	2	2	2	2	2	2
I:372991	2	2	2	2	2	2	2	2
I:375112	2	2	2	2	2	2	2	2
I:375371	2	2	2	2	2	2	2	2
I:375764	2	2	2	2	2	2	2	2
I:375956	2	2	2	2	2	2	2	2
I:376968	2	2	2	2	2	2	2	2
I:377296	2	2	2	2	2	2	2	2
I:377375	NA	2	2	2	2	2	2	2
I:378653	2	2	2	2	2	2	2	2
I:378881	2	2	2	2	2	2	2	2
I:379152	2	2	2	2	2	2	2	2
I:380451	2	2	2	2	2	2	2	2
I:381298	NA	2	2	2	2	2	2	2
I:381624	2	2	2	2	2	2	2	2
I:382715	NA	2	2	2	2	2	2	2
I:382906	2	2	2	2	2	2	2	2
I:385109	NA	2	2	2	2	2	2	2
I:385271	2	2	2	2	2	2	2	2
I:385357	2	2	2	2	2	2	2	2
I:385558	2	2	2	2	2	2	2	2
I:385586	2	2	2	2	2	2	2	2
I:385595	2	2	2	2	2	2	2	2
I:385942	2	2	2	2	2	2	2	2
I:386958	2	2	2	2	2	2	2	2
I:387836	2	2	2	2	2	2	2	2
I:388255	2	2	2	2	2	2	2	2
I:389094	2	2	2	2	2	2	2	2
I:390190	NA	2	2	2	2	2	2	2
I:390749	2	2	2	2	2	2	2	2
I:391725	2	2	2	2	2	2	2	2
I:395889	2	2	2	2	2	2	2	2
I:397667	2	2	2	2	2	2	2	2
I:398704	2	2	2	2	2	2	2	2
I:399324	2	2	2	2	2	2	2	2
I:399716	2	2	2	2	2	2	2	2
I:400259	2	2	2	2	2	2	2	2
I:400602	2	2	2	2	2	2	2	2
I:400717	2	2	2	2	2	2	2	2
I:402534	2	2	2	2	2	2	2	2
I:403376	2	2	2	2	2	2	2	2
I:404377	2	2	2	2	2	2	2	2
I:404409	2	2	2	2	2	2	2	2
I:404626	2	2	2	2	2	2	2	2
I:404655	2	2	2	2	2	2	2	2
I:404871	2	2	2	2	2	2	2	2
I:405411	2	2	2	2	2	2	2	2
I:406078	2	2	2	2	2	2	2	2
I:406840	2	2	2	2	2	2	2	2
I:407155	NA	2	2	2	2	2	2	2
I:407161	NA	2	2	2	2	2	2	2
I:407814	2	2	2	2	2	2	2	2
I:408016	2	2	2	2	2	2	2	2
I:409361	2	2	2	2	2	2	2	2
I:409909	2	2	2	2	2	2	2	2
I:410115	2	2	2	2	2	2	2	2
I:410680	2	2	2	2	2	2	2	2
I:411618	2	2	2	2	2	2	2	2
I:414061	2	2	2	2	2	2	2	2
I:415274	2	2	2	2	2	2	2	2
I:416610	2	2	2	2	2	2	2	2
I:417189	2	2	2	2	2	2	2	2
I:417190	2	2	2	2	2	2	2	2
I:418000	2	2	2	2	2	2	2	2
I:418050	2	2	2	2	2	2	2	2
I:418624	2	2	2	2	2	2	2	2
I:423437	2	2	2	2	2	2	2	2
I:424503	2	2	2	2	2	2	2	2
I:424748	2	2	2	2	2	2	2	2
I:424938	2	2	2	2	2	2	2	2
I:425179	2	2	2	2	2	2	2	2
I:425313	2	2	2	2	2	2	2	2
I:425746	2	2	2	2	2	2	2	2
I:426132	2	2	2	2	2	2	2	2
I:426884	2	2	2	2	2	2	2	2
I:429269	2	2	2	2	2	2	2	2
I:431232	2	2	2	2	2	2	2	2
I:431475	2	2	2	2	2	2	2	2
I:431476	2	2	2	2	2	2	2	2
I:431481	2	2	2	2	2	2	2	2
I:433641	2	2	2	2	2	2	2	2
I:434104	2	2	2	2	2	2	2	2
I:435529	2	2	2	2	2	2	2	2
I:435997	2	2	2	2	2	2	2	2
I:436896	2	2	2	2	2	2	2	2
I:437023	2	2	2	2	2	2	2	2
I:437479	2	2	2	2	2	2	2	2
I:438040	2	2	2	2	2	2	2	2
I:438688	2	2	2	2	2	2	2	2
I:439676	2	2	2	2	2	2	2	2
I:439739	2	2	2	2	2	2	2	2
I:440401	2	2	2	2	2	2	2	2
I:441036	2	2	2	2	2	2	2	2
I:442135	2	2	2	2	2	2	2	2
I:442685	2	2	2	2	2	2	2	2
I:444078	2	2	2	2	2	2	2	2
I:445732	2	2	2	2	2	2	2	2
I:446192	2	2	2	2	2	2	2	2
I:447720	2	2	2	2	2	2	2	2
I:448081	2	2	2	2	2	2	2	2
I:449029	2	2	2	2	2	2	2	2
I:449273	2	2	2	2	2	2	2	2
I:450056	2	2	2	2	2	2	2	2
I:450797	2	2	2	2	2	2	2	2
I:451128	2	2	2	2	2	2	2	2
I:451129	2	2	2	2	2	2	2	2
I:451267	2	2	2	2	2	2	2	2
I:451529	2	2	2	2	2	2	2	2
I:451768	2	2	2	2	2	2	2	2
I:452874	2	2	2	2	2	2	2	2
I:453314	2	2	2	2	2	2	2	2
I:454043	2	2	2	2	2	2	2	2
I:454403	2	2	2	2	2	2	2	2
I:454869	NA	2	2	2	2	2	2	2
I:455094	NA	2	NA	NA	NA	NA	NA	NA
I:455097	NA	2	NA	NA	NA	NA	NA	NA
I:458574	0	NA	2	2	2	2	NA	NA
I:458953	2	2	2	2	2	2	2	2
I:459041	2	2	2	2	2	2	2	2
I:459191	2	2	2	2	2	2	2	2
I:459503	2	2	2	2	2	2	2	2
I:459509	2	2	2	2	2	2	2	2
I:459595	2	2	2	2	2	2	2	2
I:459823	2	2	2	2	2	2	2	2
I:460413	2	2	2	2	2	2	2	2
I:460823	2	2	2	2	2	2	2	2
I:460842	2	2	2	2	2	2	2	2
I:461549	2	2	2	2	2	2	2	2
I:461550	2	2	2	2	2	2	2	2
I:463000	2	2	2	2	2	2	2	2
I:463726	2	2	2	2	2	2	2	2
I:464019	2	2	2	2	2	2	2	2
I:464020	2	2	2	2	2	2	2	2
I:464024	2	2	2	2	2	2	2	2
I:464096	2	2	2	2	2	2	2	2
I:464239	2	2	2	2	2	2	2	2
I:464285	2	2	2	2	2	2	2	2
I:464428	2	2	2	2	2	2	2	2
I:464520	2	2	2	2	2	2	2	2
I:464620	2	2	2	2	2	2	2	2
I:465683	NA	NA	2	2	NA	NA	NA	2
I:466141	NA	NA	2	NA	NA	NA	NA	NA
I:466142	NA	NA	2	NA	NA	NA	NA	NA
I:466147	NA	NA	2	NA	NA	NA	NA	NA
