Orthogroup	CGC2	N2	AF16	CGC2_counts	AF16_counts	N2_chrom	N2_start	N2_end	N2_strand	N2_alias	N2_alias2	AF16_length	CGC2_length	N2_length	AF16_acc	CGC2_acc	AF16_deviation	CGC2_deviation	class
OG0006926	g234.t1	Transcript_Y34D9A.1.1	Transcript_CBG22031.1	1	1	I	1019827	1029910	-	mrpl-38	Y34D9A.1	412	412	413	0.997578692493947	0.997578692493947	0.00242130750605329	0.00242130750605329	Near-identical
OG0006927	g235.t1	Transcript_Y34D9A.4.1	Transcript_CBG22032.1	1	1	I	1030633	1033436	-	spd-1	Y34D9A.4	517	523	529	0.977315689981096	0.988657844990548	0.0226843100189036	0.0113421550094518	Near-identical
OG0006928	g238.t1	Transcript_Y34D9A.6.1	Transcript_CBG22036.1	1	1	I	1049596	1050727	+	glrx-10	Y34D9A.6	105	105	105	1	1	0	0	Identical
OG0006943	g276.t1	Transcript_Y34D9A.10.1	Transcript_CBG22083.1	1	1	I	1053894	1066899	-	vps-4	Y34D9A.10	430	430	430	1	1	0	0	Identical
OG0006944	g277.t1	Transcript_Y34D9A.2.1	Transcript_CBG22082.1	1	1	I	1062293	1065297	+	npr-23	Y34D9A.2	325	325	326	0.996932515337423	0.996932515337423	0.00306748466257667	0.00306748466257667	Near-identical
OG0006942	g274.t1	Transcript_R06A10.2a.1	Transcript_CBG22078.1	1	1	I	1068484	1074343	+	gsa-1	R06A10.2	377	378	378	0.997354497354497	1	0.00264550264550267	0	Identical
OG0006945	g281.t1	Transcript_R06A10.5b.1	Transcript_CBG22087.1	1	1	I	1088514	1089742	+	R06A10.5	NA	130	130	130	1	1	0	0	Identical
OG0006946	g282.t1	Transcript_R06A10.4.1	Transcript_CBG22088b.1	1	1	I	1089648	1095796	-	R06A10.4	NA	409	391	391	1.0460358056266	1	0.0460358056265984	0	Identical
OG0007857	g2299.t1	Transcript_Y48G8AL.14.1	Transcript_CBG08511.1	1	1	I	1154514	1156020	-	aps-3	Y48G8AL.14	192	192	192	1	1	0	0	Identical
OG0007858	g2300.t1	Transcript_Y48G8AL.8.1	Transcript_CBG08510.1	1	1	I	1156579	1157487	+	rpl-17	Y48G8AL.8	186	186	187	0.994652406417112	0.994652406417112	0.00534759358288772	0.00534759358288772	Near-identical
OG0007859	g2301.t1	Transcript_Y48G8AL.7.1	Transcript_CBG08509.1	1	1	I	1157571	1162923	+	Y48G8AL.7	NA	240	240	239	1.00418410041841	1.00418410041841	0.00418410041841	0.00418410041841	Near-identical
OG0007861	g2311.t1	Transcript_Y48G8AL.6.1	Transcript_CBG08494b.1	1	1	I	1176473	1190829	+	smg-2	Y48G8AL.6	1106	1051	1069	1.03461178671656	0.983161833489242	0.0346117867165576	0.0168381665107578	Near-identical
OG0007862	g2312.t1	Transcript_Y48G8AL.5a.1	Transcript_CBG08493.1	1	1	I	1193158	1211376	+	nsun-2	Y48G8AL.5	686	686	684	1.00292397660819	1.00292397660819	0.00292397660818722	0.00292397660818722	Near-identical
OG0007860	g2308.t2	Transcript_Y48G8AR.2.1	Transcript_CBG08497.1	1	1	I	1282101	1285435	+	Y48G8AR.2	NA	476	366	339	1.40412979351032	1.07964601769911	0.404129793510325	0.0796460176991149	Deviated (Discordant)
OG0006864	g19.t1	Transcript_K12C11.5.1	Transcript_CBG24697.1	1	1	I	1332698	1334077	+	K12C11.5	NA	169	169	149	1.13422818791946	1.13422818791946	0.134228187919463	0.134228187919463	Deviated (Concordant)
OG0007016	g469.t1	Transcript_K12C11.6.1	Transcript_CBG29967.1	1	1	I	1337016	1338216	+	K12C11.6	NA	122	127	132	0.924242424242424	0.962121212121212	0.0757575757575758	0.0378787878787878	Near-identical
OG0007017	g475.t1	Transcript_Y92H12BM.1.1	Transcript_CBG15100.1	1	1	I	1389248	1392759	-	Y92H12BM.1	NA	646	646	186	3.47311827956989	3.47311827956989	2.47311827956989	2.47311827956989	Deviated (Concordant)
OG0007018	g478.t1	Transcript_Y92H12BR.6.1	Transcript_CBG15097.1	1	1	I	1405935	1413100	+	set-29	Y92H12BR.6	407	407	401	1.01496259351621	1.01496259351621	0.0149625935162094	0.0149625935162094	Near-identical
OG0007019	g479.t1	Transcript_Y92H12BR.2.1	Transcript_CBG15096.1	1	1	I	1413917	1415807	-	Y92H12BR.2	NA	186	186	177	1.05084745762712	1.05084745762712	0.0508474576271187	0.0508474576271187	Deviated (Concordant)
OG0007020	g481.t1	Transcript_Y92H12BR.8.1	Transcript_CBG15094.1	1	1	I	1436279	1441334	+	mrpl-15	Y92H12BR.8	299	299	298	1.00335570469799	1.00335570469799	0.00335570469798663	0.00335570469798663	Near-identical
OG0009812	g7331.t1	Transcript_F47G6.3.1	Transcript_CBG18287.1	1	1	I	1465597	1469593	+	F47G6.3	NA	371	371	346	1.07225433526012	1.07225433526012	0.0722543352601157	0.0722543352601157	Deviated (Concordant)
OG0007012	g453.t1	Transcript_F47G6.2.1	Transcript_CBG22284.1	1	1	I	1471075	1479923	+	acs-16	F47G6.2	569	569	569	1	1	0	0	Identical
OG0007000	g428.t1	Transcript_Y92H12A.2a.1	Transcript_CBG22256.1	1	1	I	1543525	1556195	+	Y92H12A.2	NA	752	750	724	1.03867403314917	1.03591160220994	0.0386740331491713	0.0359116022099448	Near-identical
OG0006972	g344.t1	Transcript_Y73E7A.4.1	Transcript_CBG22157.1	1	1	I	1594649	1596216	-	cpx-1	Y73E7A.4	143	143	143	1	1	0	0	Identical
OG0006973	g345.t1	Transcript_Y73E7A.2.1	Transcript_CBG22158.1	1	1	I	1601838	1607219	+	aatf-1	Y73E7A.2	482	482	463	1.04103671706263	1.04103671706263	0.0410367170626349	0.0410367170626349	Near-identical
OG0006974	g346.t1	Transcript_Y73E7A.6.1	Transcript_CBG22159.1	1	1	I	1607705	1610041	-	Y73E7A.6	NA	91	91	89	1.02247191011236	1.02247191011236	0.0224719101123596	0.0224719101123596	Near-identical
OG0006975	g348.t1	Transcript_Y73E7A.8.1	Transcript_CBG22163.1	1	1	I	1634569	1644115	+	Y73E7A.8	NA	666	666	680	0.979411764705882	0.979411764705882	0.0205882352941177	0.0205882352941177	Near-identical
OG0006964	g326.t1	Transcript_Y71G12B.20a.1	Transcript_CBG22137.1	1	1	I	1644588	1651457	-	mab-20	Y71G12B.20	656	656	658	0.996960486322188	0.996960486322188	0.00303951367781152	0.00303951367781152	Near-identical
OG0006971	g342.t1	Transcript_Y71G12B.21.1	Transcript_CBG22155.1	1	1	I	1655616	1656763	-	pqn-88	Y71G12B.21	205	205	198	1.03535353535354	1.03535353535354	0.0353535353535352	0.0353535353535352	Near-identical
OG0006966	g333.t1	Transcript_Y71G12B.17.1	Transcript_CBG22145.1	1	1	I	1667501	1669792	+	Y71G12B.17	NA	273	273	272	1.00367647058824	1.00367647058824	0.00367647058823528	0.00367647058823528	Near-identical
OG0006967	g334.t1	Transcript_Y71G12B.23a.1	Transcript_CBG29930.1	1	1	I	1670036	1672740	-	Y71G12B.23	NA	252	252	253	0.99604743083004	0.99604743083004	0.00395256916996045	0.00395256916996045	Near-identical
OG0006968	g335.t1	Transcript_Y71G12B.35.1	Transcript_CBG22146.1	1	1	I	1672853	1676438	-	Y71G12B.35	NA	334	334	349	0.95702005730659	0.95702005730659	0.0429799426934098	0.0429799426934098	Near-identical
OG0006969	g336.t1	Transcript_Y71G12B.16.1	Transcript_CBG22147.1	1	1	I	1680446	1685203	+	drag-1	Y71G12B.16	414	414	408	1.01470588235294	1.01470588235294	0.0147058823529411	0.0147058823529411	Near-identical
OG0006970	g339.t2	Transcript_Y71G12B.13.1	Transcript_CBG22151.1	1	1	I	1702105	1708553	+	Y71G12B.13	NA	517	592	508	1.01771653543307	1.16535433070866	0.0177165354330708	0.165354330708661	Near-identical
OG0006980	g357.t1	Transcript_Y71G12B.24a.1	Transcript_CBG22171.1	1	1	I	1740641	1751055	-	mppa-1	Y71G12B.24	517	517	514	1.00583657587549	1.00583657587549	0.00583657587548636	0.00583657587548636	Near-identical
OG0006979	g356.t1	Transcript_Y71G12B.10.1	Transcript_CBG22170.1	1	1	I	1751481	1754410	+	Y71G12B.10	NA	318	318	318	1	1	0	0	Identical
OG0006978	g354.t1	Transcript_Y71G12B.8.1	Transcript_CBG22166.1	1	1	I	1767887	1790157	+	ddx-27	Y71G12B.8	744	282	739	1.00676589986468	0.381596752368065	0.00676589986468201	0.618403247631935	Near-identical
OG0006977	g353.t1	Transcript_Y71G12B.25a.1	Transcript_CBG22168.1	1	1	I	1771367	1775933	-	Y71G12B.25	NA	407	407	407	1	1	0	0	Identical
OG0007484	g1524.t1	Transcript_Y71G12B.27.1	Transcript_CBG12081.1	1	1	I	1797435	1798722	-	Y71G12B.27	NA	105	105	118	0.889830508474576	0.889830508474576	0.110169491525424	0.110169491525424	Deviated (Concordant)
OG0006983	g377.t1	Transcript_Y71G12B.4.1	Transcript_CBG22199.1	1	1	I	1808092	1811835	+	pghm-1	Y71G12B.4	323	388	324	0.996913580246914	1.19753086419753	0.00308641975308643	0.197530864197531	Near-identical
OG0006965	g328.t1	Transcript_Y71G12B.32.1	Transcript_CBG22139.1	1	1	I	1813909	1816066	-	Y71G12B.32	NA	278	278	262	1.06106870229008	1.06106870229008	0.0610687022900764	0.0610687022900764	Deviated (Concordant)
OG0006988	g388.t1	Transcript_C53H9.3.1	Transcript_CBG25187.1	1	1	I	1832167	1832421	-	C53H9.3	NA	84	84	84	1	1	0	0	Identical
OG0006987	g387.t1	Transcript_C53H9.2a.1	Transcript_CBG22213.1	1	1	I	1832897	1834763	+	C53H9.2	NA	555	555	554	1.00180505415162	1.00180505415162	0.00180505415162457	0.00180505415162457	Near-identical
OG0006986	g386.t1	Transcript_C53H9.1.1	Transcript_CBG22212a.1	1	1	I	1834883	1835438	+	rpl-27	C53H9.1	136	136	136	1	1	0	0	Identical
OG0006985	g383.t1	Transcript_M01D7.5.1	Transcript_CBG22209.1	1	1	I	1843384	1843959	+	nlp-12	M01D7.5	77	77	80	0.9625	0.9625	0.0375	0.0375	Near-identical
OG0006553	g12414.t1	Transcript_M01D7.9.1	Transcript_CBG13590.1	1	1	I	1851669	1853045	-	M01D7.9	NA	201	128	82	2.45121951219512	1.5609756097561	1.45121951219512	0.560975609756098	Deviated (Discordant)
OG0006992	g401.t1	Transcript_Y71G12A.4.1	Transcript_CBG22222.1	1	1	I	1885161	1894910	-	Y71G12A.4	NA	457	573	468	0.976495726495726	1.22435897435897	0.0235042735042735	0.224358974358974	Near-identical
OG0006961	g319.t1	Transcript_Y71G12A.2b.1	Transcript_CBG22130.1	1	1	I	1895176	1923240	+	trpp-10	Y71G12A.2	1104	1105	1112	0.992805755395683	0.993705035971223	0.0071942446043165	0.00629496402877694	Near-identical
OG0006962	g320.t1	Transcript_Y51F10.7.1	Transcript_CBG22129.1	1	1	I	1911684	1913935	-	Y51F10.7	NA	188	188	189	0.994708994708995	0.994708994708995	0.00529100529100535	0.00529100529100535	Near-identical
OG0006960	g318.t1	Transcript_Y51F10.5.1	Transcript_CBG22127.1	1	1	I	1924300	1932260	+	hex-4	Y51F10.5	493	493	491	1.0040733197556	1.0040733197556	0.00407331975560088	0.00407331975560088	Near-identical
OG0006963	g323.t1	Transcript_Y51F10.11.1	Transcript_CBG22133.1	1	1	I	1958707	1965066	+	Y51F10.11	NA	274	274	276	0.992753623188406	0.992753623188406	0.00724637681159424	0.00724637681159424	Near-identical
OG0006933	g251.t2	Transcript_Y20F4.2.1	Transcript_CBG22050.1	1	1	I	2026316	2033748	+	crtc-1	Y20F4.2	483	485	486	0.993827160493827	0.997942386831276	0.00617283950617287	0.00205761316872433	Near-identical
OG0006932	g249.t1	Transcript_Y37E3.1.1	Transcript_CBG22048.1	1	1	I	2061667	2063998	-	Y37E3.1	NA	406	406	402	1.00995024875622	1.00995024875622	0.00995024875621886	0.00995024875621886	Near-identical
OG0006931	g248.t1	Transcript_Y37E3.3.1	Transcript_CBG22047.1	1	1	I	2064293	2064686	+	rpb-10	Y37E3.3	67	67	67	1	1	0	0	Identical
OG0006930	g247.t1	Transcript_Y37E3.4.1	Transcript_CBG22046.1	1	1	I	2064976	2065481	+	moag-4	Y37E3.4	82	82	82	1	1	0	0	Identical
OG0006929	g243.t1	Transcript_Y37E3.9.1	Transcript_CBG22042.1	1	1	I	2071352	2072547	+	phb-1	Y37E3.9	275	275	275	1	1	0	0	Identical
OG0006947	g283.t1	Transcript_Y37E3.15a.1	Transcript_CBG22089.1	1	1	I	2097346	2123443	+	npp-13	Y37E3.15	785	785	787	0.997458703939009	0.997458703939009	0.00254129606099107	0.00254129606099107	Near-identical
OG0006948	g284.t1	Transcript_Y37E3.19.1	Transcript_CBG22090.1	1	1	I	2107402	2108902	-	Y37E3.19	NA	172	172	159	1.08176100628931	1.08176100628931	0.0817610062893082	0.0817610062893082	Deviated (Concordant)
OG0006949	g286.t1	Transcript_Y37E3.16.1	Transcript_CBG22091.1	1	1	I	2113656	2118530	-	fpn-1.1	Y37E3.16	527	527	509	1.03536345776031	1.03536345776031	0.0353634577603144	0.0353634577603144	Near-identical
OG0007217	g927.t1	Transcript_W03F11.5.1	Transcript_CBG03895.1	1	1	I	2216098	2219487	+	W03F11.5	NA	281	281	257	1.09338521400778	1.09338521400778	0.093385214007782	0.093385214007782	Deviated (Concordant)
OG0007216	g926.t1	Transcript_W03F11.3.1	Transcript_CBG30870.1	1	1	I	2233744	2234957	-	dct-9	W03F11.3	167	167	183	0.912568306010929	0.912568306010929	0.087431693989071	0.087431693989071	Deviated (Concordant)
OG0007218	g934.t1	Transcript_F12B6.2a.1	Transcript_CBG03886.1	1	1	I	2250131	2254908	+	slc-17.6	F12B6.2	546	551	546	1	1.00915750915751	0	0.00915750915750912	Identical
OG0007223	g943.t1	Transcript_Y39G10AR.11.1	Transcript_CBG03877.1	1	1	I	2293127	2297328	+	Y39G10AR.11	NA	786	804	788	0.99746192893401	1.02030456852792	0.0025380710659898	0.0203045685279188	Near-identical
OG0007222	g942.t1	Transcript_Y39G10AR.10.1	Transcript_CBG03878.1	1	1	I	2300086	2302813	+	epg-2	Y39G10AR.10	597	597	690	0.865217391304348	0.865217391304348	0.134782608695652	0.134782608695652	Deviated (Concordant)
OG0007221	g938.t2	Transcript_Y39G10AR.21a.1	Transcript_CBG03881.1	1	1	I	2308976	2312129	+	nsun-4	Y39G10AR.21	466	466	465	1.00215053763441	1.00215053763441	0.00215053763440864	0.00215053763440864	Near-identical
OG0007220	g937.t1	Transcript_Y39G10AR.20.1	Transcript_CBG03882.1	1	1	I	2312496	2312958	+	tbca-1	Y39G10AR.20	112	112	111	1.00900900900901	1.00900900900901	0.00900900900900892	0.00900900900900892	Near-identical
OG0007219	g935.t1	Transcript_Y39G10AR.8.1	Transcript_CBG03884.1	1	1	I	2313271	2315992	+	eif-2gamma	Y39G10AR.8	469	469	469	1	1	0	0	Identical
OG0007190	g847.t1	Transcript_Y39G10AR.6.1	Transcript_CBG03975.1	1	1	I	2333338	2338693	+	ugt-31	Y39G10AR.6	526	527	521	1.00959692898273	1.01151631477927	0.00959692898272557	0.0115163147792707	Near-identical
OG0007189	g845.t1	Transcript_Y39G10AR.17.1	Transcript_CBG03978b.1	1	1	I	2377089	2381851	-	sydn-1	Y39G10AR.17	661	634	578	1.14359861591696	1.09688581314879	0.143598615916955	0.0968858131487889	Deviated (Concordant)
OG0007188	g841.t1	Transcript_F23C8.5a.1	Transcript_CBG03983.3	1	1	I	2418461	2420353	-	F23C8.5	NA	255	255	255	1	1	0	0	Identical
OG0007187	g840.t1	Transcript_F23C8.6.1	Transcript_CBG03984.1	1	1	I	2420834	2421816	-	did-2	F23C8.6	205	205	205	1	1	0	0	Identical
OG0006489	g2217.t1	Transcript_F23C8.7.1	Transcript_CBG12879.1	1	1	I	2422153	2425185	-	F23C8.7	NA	428	428	417	1.02637889688249	1.02637889688249	0.0263788968824941	0.0263788968824941	Near-identical
OG0007186	g839.t1	Transcript_F23C8.8.1	Transcript_CBG25248.1	1	1	I	2429675	2432588	-	F23C8.8	NA	302	302	301	1.00332225913621	1.00332225913621	0.00332225913621254	0.00332225913621254	Near-identical
OG0007185	g838.t1	Transcript_F23C8.9.1	Transcript_CBG03985.1	1	1	I	2432590	2433615	-	tipn-1	F23C8.9	239	239	233	1.02575107296137	1.02575107296137	0.0257510729613735	0.0257510729613735	Near-identical
OG0007184	g837.t1	Transcript_F23C8.4.1	Transcript_CBG03986.1	1	1	I	2434002	2435691	+	ubxn-1	F23C8.4	305	305	299	1.02006688963211	1.02006688963211	0.020066889632107	0.020066889632107	Near-identical
OG0007183	g835.t1	Transcript_Y74C10AL.2.1	Transcript_CBG03988.1	1	1	I	2468793	2471935	-	Y74C10AL.2	NA	157	157	157	1	1	0	0	Identical
