Orthogroup	CGC2	N2	AF16	QX1410	CGC2_counts	AF16_counts	QX1410_counts	class	CGC2_chrom	CGC2_start	CGC2_end	CGC2_strand	AF16_chrom	AF16_start	AF16_end	AF16_strand	QX1410_chrom	QX1410_start	QX1410_end	QX1410_strand
OG0000086	g11195.t2	Transcript_F25H8.5a.1, Transcript_F25H8.5b.1, Transcript_F25H8.5c.1, Transcript_F25H8.5d.1, Transcript_F25H8.5e.1, Transcript_F25H8.5f.1, Transcript_F25H8.5g.1, Transcript_F25H8.5h.1, Transcript_F25H8.5i.1, Transcript_F25H8.5j.1, Transcript_F25H8.5k.1, Transcript_F25H8.5l.1, Transcript_F25H8.5m.1, Transcript_F25H8.5m.2, Transcript_F25H8.5n.1, Transcript_F25H8.5o.1, Transcript_F25H8.5p.1, Transcript_F25H8.5p.2, Transcript_F25H8.5q.1, Transcript_F25H8.5q.2, Transcript_F25H8.5r.1, Transcript_F25H8.5s.1	Transcript_CBG03456e.1	transcript_QX1410.43004.2	1	1	1	COMPLETE	IV	9915500	9921526	+	IV	9881895	9887920	+	IV	9726168	9732323	+
OG0000090	g17902.t1	Transcript_C17B7.8a.1, Transcript_C17B7.8b.1, Transcript_F09D12.2.1, Transcript_F15E11.11a.1, Transcript_F15E11.11b.1, Transcript_F15E11.11c.1, Transcript_F15E11.2.1, Transcript_F15E11.3.1, Transcript_F15E11.4.1, Transcript_F19C6.4a.1, Transcript_F19C6.4b.1, Transcript_F56A4.9a.1, Transcript_F56A4.9b.1, Transcript_T26E4.1.1, Transcript_T28A11.17.1, Transcript_Y19D10A.7a.1, Transcript_Y19D10A.7b.1, Transcript_Y19D10A.7g.1, Transcript_Y19D10A.7h.1, Transcript_Y19D10B.6.1, Transcript_Y38C9B.3.1, Transcript_ZK1037.1.1	Transcript_CBG01943.1	transcript_QX1410.37522.2	1	1	1	COMPLETE	X	3594745	3598633	+	X	3490075	3493963	+	X	3562303	3566310	+
OG0000096	g6798.t1	Transcript_Y111B2A.14a.1, Transcript_Y111B2A.14a.2, Transcript_Y111B2A.14a.3, Transcript_Y111B2A.14b.1, Transcript_Y111B2A.14c.1, Transcript_Y111B2A.14d.1, Transcript_Y111B2A.14e.1, Transcript_Y111B2A.14f.1, Transcript_Y111B2A.14g.1, Transcript_Y111B2A.14h.1, Transcript_Y111B2A.14i.1, Transcript_Y111B2A.14j.1, Transcript_Y111B2A.14k.1, Transcript_Y111B2A.14l.1, Transcript_Y111B2A.14m.1, Transcript_Y111B2A.14n.1, Transcript_Y111B2A.14o.1, Transcript_Y111B2A.14p.1, Transcript_Y111B2A.14r.1, Transcript_Y111B2A.14s.1, Transcript_Y111B2A.14t.1	Transcript_CBG20130a.1	transcript_QX1410.7781.2	1	1	1	COMPLETE	III	2556397	2573704	+	III	2627931	2646191	+	III	2583273	2600076	+
OG0000100	g16323.t1	Transcript_F14H3.12.1, Transcript_H39E23.1a.1, Transcript_H39E23.1b.1, Transcript_H39E23.1c.1, Transcript_H39E23.1d.1, Transcript_H39E23.1e.1, Transcript_H39E23.1e.2, Transcript_H39E23.1e.3, Transcript_H39E23.1e.4, Transcript_H39E23.1e.5, Transcript_H39E23.1e.6, Transcript_H39E23.1f.1, Transcript_H39E23.1g.1, Transcript_H39E23.1h.1, Transcript_H39E23.1i.1, Transcript_H39E23.1j.1, Transcript_H39E23.1k.1, Transcript_H39E23.1l.1, Transcript_H39E23.1m.1, Transcript_Y60A3A.16.1, Transcript_Y60A3A.16.2	Transcript_CBG04756l.1	transcript_QX1410.26089.5	1	1	1	COMPLETE	V	15382768	15409044	+	V	15108551	15148525	+	V	15294783	15322021	-
OG0000108	g2987.t1	Transcript_Y105E8B.1a.1, Transcript_Y105E8B.1b.1, Transcript_Y105E8B.1c.1, Transcript_Y105E8B.1d.1, Transcript_Y105E8B.1e.1, Transcript_Y105E8B.1e.2, Transcript_Y105E8B.1f.1, Transcript_Y105E8B.1g.1, Transcript_Y105E8B.1i.1, Transcript_Y105E8B.1j.1, Transcript_Y105E8B.1k.1, Transcript_Y105E8B.1l.1, Transcript_Y105E8B.1m.1, Transcript_Y105E8B.1n.1, Transcript_Y105E8B.1o.1, Transcript_Y105E8B.1p.1, Transcript_Y105E8B.1q.1, Transcript_Y105E8B.1r.1, Transcript_Y105E8B.1s.1, Transcript_Y105E8B.1t.1	Transcript_CBG19793b.1	transcript_QX1410.30190.3	1	1	1	COMPLETE	I	15101377	15109152	-	I	15116341	15124566	-	I	15186344	15190867	-
OG0000112	g10387.t1	Transcript_C46G7.4a.1, Transcript_C46G7.4b.1, Transcript_C46G7.4c.1, Transcript_C46G7.4d.1, Transcript_C46G7.4e.1, Transcript_C46G7.4f.1, Transcript_C46G7.4g.1, Transcript_C46G7.4h.1, Transcript_C46G7.4i.1, Transcript_C46G7.4j.1, Transcript_C46G7.4k.1, Transcript_C46G7.4l.1, Transcript_C46G7.4m.1, Transcript_C46G7.4n.1, Transcript_C46G7.4o.1, Transcript_C46G7.4p.1, Transcript_C46G7.4q.1, Transcript_C46G7.4r.1, Transcript_C46G7.4s.1, Transcript_C46G7.4t.1	Transcript_CBG09470d.1	transcript_QX1410.5292.16	1	1	1	COMPLETE	IV	6639874	6652049	-	IV	6554621	6566794	+	IV	6414647	6427130	-
OG0000121	g8793.t1	Transcript_C30D11.1a.1, Transcript_C30D11.1b.1, Transcript_C30D11.1c.1, Transcript_C30D11.1d.1, Transcript_C30D11.1e.1, Transcript_C30D11.1f.1, Transcript_C30D11.1g.1, Transcript_C30D11.1h.1, Transcript_C30D11.1i.1, Transcript_C30D11.1j.1, Transcript_C30D11.1k.1, Transcript_C30D11.1l.1, Transcript_C30D11.1m.1, Transcript_C30D11.1n.1, Transcript_C30D11.1o.1, Transcript_C30D11.1p.1, Transcript_C30D11.1q.1, Transcript_C30D11.1r.1, Transcript_C30D11.1s.1	Transcript_CBG20190e.1	transcript_QX1410.36281.1	1	1	1	COMPLETE	III	11860493	11882508	-	III	11469933	11492509	-	III	11784046	11810594	-
OG0000122	g17773.t1	Transcript_C30G4.4a.1, Transcript_C30G4.4b.1, Transcript_C30G4.4c.1, Transcript_C30G4.4d.1, Transcript_C30G4.4e.1, Transcript_C30G4.4f.1, Transcript_C30G4.4g.1, Transcript_C30G4.4h.1, Transcript_C30G4.4i.1, Transcript_C30G4.4j.1, Transcript_C30G4.4k.1, Transcript_C30G4.4l.1, Transcript_C30G4.4m.1, Transcript_C30G4.4n.1, Transcript_C30G4.4o.1, Transcript_C30G4.4p.1, Transcript_C30G4.4q.1, Transcript_C30G4.4r.1, Transcript_C30G4.4s.1	Transcript_CBG15980b.1	transcript_QX1410.16695.7	1	1	1	COMPLETE	X	2737263	2749223	+	X	2713214	2725172	+	X	2731201	2743484	+
OG0000131	g6422.t3	Transcript_T17H7.4a.1, Transcript_T17H7.4b.1, Transcript_T17H7.4c.1, Transcript_T17H7.4d.1, Transcript_T17H7.4d.2, Transcript_T17H7.4d.3, Transcript_T17H7.4d.4, Transcript_T17H7.4d.5, Transcript_T17H7.4d.6, Transcript_T17H7.4d.7, Transcript_T17H7.4e.1, Transcript_T17H7.4g.1, Transcript_T17H7.4g.2, Transcript_T17H7.4h.1, Transcript_T17H7.4i.1, Transcript_T17H7.4j.1, Transcript_T17H7.4k.1, Transcript_T17H7.4k.2	Transcript_CBG15235c.1	transcript_QX1410.33803.9	1	1	1	COMPLETE	III	260152	286598	+	III	224235	250679	+	III	237332	264312	+
OG0000133	g13216.t3	Transcript_T28F12.2a.1, Transcript_T28F12.2b.1, Transcript_T28F12.2c.1, Transcript_T28F12.2c.2, Transcript_T28F12.2d.1, Transcript_T28F12.2d.10, Transcript_T28F12.2d.2, Transcript_T28F12.2d.3, Transcript_T28F12.2d.4, Transcript_T28F12.2d.5, Transcript_T28F12.2d.6, Transcript_T28F12.2d.7, Transcript_T28F12.2d.8, Transcript_T28F12.2d.9, Transcript_T28F12.2e.1, Transcript_T28F12.2f.1, Transcript_T28F12.2g.1, Transcript_T28F12.2h.1	Transcript_CBG24578c.1	transcript_QX1410.588.11	1	1	1	COMPLETE	V	2752595	2765741	+	V	2266754	2277535	-	V	2479116	2492931	+
OG0000135	g17852.t1	Transcript_T23E7.2a.1, Transcript_T23E7.2b.1, Transcript_T23E7.2c.1, Transcript_T23E7.2d.1, Transcript_T23E7.2d.2, Transcript_T23E7.2d.3, Transcript_T23E7.2d.4, Transcript_T23E7.2d.5, Transcript_T23E7.2d.6, Transcript_T23E7.2d.7, Transcript_T23E7.2e.1, Transcript_T23E7.2f.1, Transcript_T23E7.2g.1, Transcript_T23E7.2h.1, Transcript_T23E7.2i.1, Transcript_T23E7.2j.1, Transcript_T23E7.2k.1, Transcript_T23E7.2l.1	Transcript_CBG01887b.1	transcript_QX1410.37472.6	1	1	1	COMPLETE	X	3338115	3347817	+	X	3233469	3243171	+	X	3306976	3317171	+
OG0000150	g8335.t1	Transcript_ZK1098.10a.1, Transcript_ZK1098.10a.2, Transcript_ZK1098.10b.1, Transcript_ZK1098.10c.1, Transcript_ZK1098.10d.1, Transcript_ZK1098.10e.1, Transcript_ZK1098.10f.1, Transcript_ZK1098.10g.1, Transcript_ZK1098.10h.1, Transcript_ZK1098.10i.1, Transcript_ZK1098.10j.1, Transcript_ZK1098.10k.1, Transcript_ZK1098.10l.1, Transcript_ZK1098.10m.1, Transcript_ZK1098.10n.1, Transcript_ZK1098.10o.1, Transcript_ZK1098.10p.1	Transcript_CBG10054n.1	transcript_QX1410.9265.14	1	1	1	COMPLETE	III	9628351	9636289	-	III	9492978	9500916	-	III	9605625	9614088	-
OG0000151	g11458.t1	Transcript_F29C4.8a.1, Transcript_F29C4.8b.1, Transcript_F29C4.8c.1, Transcript_F29C4.8d.1, Transcript_F29C4.8e.1, Transcript_F29C4.8f.1, Transcript_F29C4.8g.1, Transcript_F29C4.8h.1, Transcript_F29C4.8i.1, Transcript_F29C4.8j.1, Transcript_F29C4.8k.1, Transcript_F29C4.8l.1, Transcript_F29C4.8m.1, Transcript_F29C4.8n.1, Transcript_F29C4.8o.1, Transcript_F29C4.8p.1, Transcript_F29C4.8q.1	Transcript_CBG01652l.1	transcript_QX1410.43277.3	1	1	1	COMPLETE	IV	10956363	10963625	+	IV	10945468	10952692	+	IV	10763727	10771178	+
OG0000162	g10407.t1	Transcript_C11D2.6a.1, Transcript_C11D2.6b.1, Transcript_C11D2.6c.1, Transcript_C11D2.6d.1, Transcript_C11D2.6e.1, Transcript_C11D2.6f.1, Transcript_C11D2.6g.1, Transcript_C11D2.6h.1, Transcript_C11D2.6i.1, Transcript_C11D2.6j.1, Transcript_C11D2.6k.1, Transcript_C11D2.6l.1, Transcript_C11D2.6m.1, Transcript_C11D2.6n.1, Transcript_C11D2.6o.1, Transcript_C11D2.6p.1	Transcript_CBG05508a.1	transcript_QX1410.42162.3	1	1	1	COMPLETE	IV	6780636	6805551	-	IV	6699565	6712743	-	IV	6553811	6578706	-
OG0000164	g3771.t1	Transcript_ZC101.2a.1, Transcript_ZC101.2b.1, Transcript_ZC101.2c.1, Transcript_ZC101.2d.1, Transcript_ZC101.2e.1, Transcript_ZC101.2f.1, Transcript_ZC101.2g.1, Transcript_ZC101.2i.1, Transcript_ZC101.2j.1, Transcript_ZC101.2k.1, Transcript_ZC101.2l.1, Transcript_ZC101.2m.1, Transcript_ZC101.2n.1, Transcript_ZC101.2o.1, Transcript_ZC101.2p.1, Transcript_ZC101.2r.1	Transcript_CBG11064g.1	transcript_QX1410.10854.14	1	1	1	COMPLETE	II	4578950	4604829	+	II	4378191	4426145	-	II	4523518	4572241	+
OG0000167	g7098.t1	Transcript_F54E7.3a.1, Transcript_F54E7.3b.1, Transcript_F54E7.3b.2, Transcript_F54E7.3b.3, Transcript_F54E7.3c.1, Transcript_F54E7.3c.2, Transcript_F54E7.3d.1, Transcript_F54E7.3e.1, Transcript_F54E7.3f.1, Transcript_F54E7.3g.1, Transcript_F54E7.3h.1, Transcript_F54E7.3i.1, Transcript_F54E7.3j.1, Transcript_F54E7.3k.1, Transcript_F54E7.3l.1, Transcript_F54E7.3m.1	Transcript_CBG08987a.1	transcript_QX1410.34536.2	1	1	1	COMPLETE	III	4436262	4445019	-	III	4368560	4378011	-	III	4446682	4456618	-
OG0000168	g9388.t1	Transcript_C30H6.1a.1, Transcript_C30H6.1b.1, Transcript_C30H6.1c.1, Transcript_C30H6.1d.1, Transcript_C30H6.1e.1, Transcript_C30H6.1g.1, Transcript_C30H6.1h.1, Transcript_C30H6.1i.1, Transcript_C30H6.1j.1, Transcript_C30H6.1k.1, Transcript_C30H6.1l.1, Transcript_C30H6.1m.1, Transcript_C30H6.1n.1, Transcript_C30H6.1o.1, Transcript_C30H6.1p.1, Transcript_C30H6.1q.1	Transcript_CBG00397.1	transcript_QX1410.41091.1	1	1	1	COMPLETE	IV	189162	191954	-	IV	333221	338768	+	IV	211750	214650	-
OG0000172	g15037.t2	Transcript_H19N07.2a.1, Transcript_H19N07.2b.1, Transcript_H19N07.2c.1, Transcript_H19N07.2d.1, Transcript_H19N07.2e.1, Transcript_H19N07.2f.1, Transcript_H19N07.2g.1, Transcript_H19N07.2h.1, Transcript_H19N07.2i.1, Transcript_H19N07.2j.1, Transcript_H19N07.2k.1, Transcript_H19N07.2l.1, Transcript_H19N07.2m.1, Transcript_H19N07.2n.1, Transcript_H19N07.2o.1, Transcript_H19N07.2p.1	Transcript_CBG23105.1	transcript_QX1410.2204.1	1	1	1	COMPLETE	V	10330588	10334608	-	V	9935373	9940338	-	V	10113902	10118876	-
OG0000173	g15664.t11	Transcript_K11C4.5a.1, Transcript_K11C4.5b.1, Transcript_K11C4.5c.1, Transcript_K11C4.5d.1, Transcript_K11C4.5e.1, Transcript_K11C4.5f.1, Transcript_K11C4.5g.1, Transcript_K11C4.5h.1, Transcript_K11C4.5i.1, Transcript_K11C4.5j.1, Transcript_K11C4.5k.1, Transcript_K11C4.5l.1, Transcript_K11C4.5m.1, Transcript_K11C4.5n.1, Transcript_K11C4.5o.1, Transcript_K11C4.5p.1	Transcript_CBG19042c.1	transcript_QX1410.25405.5	1	1	1	COMPLETE	V	12935640	12957266	-	V	12552091	12577804	-	V	12729901	12756343	-
OG0000174	g17673.t1	Transcript_ZK899.8a.1, Transcript_ZK899.8b.1, Transcript_ZK899.8c.1, Transcript_ZK899.8d.1, Transcript_ZK899.8e.1, Transcript_ZK899.8f.1, Transcript_ZK899.8g.1, Transcript_ZK899.8h.1, Transcript_ZK899.8i.1, Transcript_ZK899.8i.2, Transcript_ZK899.8i.3, Transcript_ZK899.8i.4, Transcript_ZK899.8i.5, Transcript_ZK899.8j.1, Transcript_ZK899.8k.1, Transcript_ZK899.8l.1	Transcript_CBG16118c.1	transcript_QX1410.16594.11	1	1	1	COMPLETE	X	2132429	2156623	+	X	2112832	2148041	+	X	2116108	2151976	+
OG0000175	g18323.t1	Transcript_T05A10.1a.1, Transcript_T05A10.1b.1, Transcript_T05A10.1c.1, Transcript_T05A10.1c.2, Transcript_T05A10.1d.1, Transcript_T05A10.1e.1, Transcript_T05A10.1f.1, Transcript_T05A10.1g.1, Transcript_T05A10.1h.1, Transcript_T05A10.1h.2, Transcript_T05A10.1i.1, Transcript_T05A10.1j.1, Transcript_T05A10.1j.2, Transcript_T05A10.1j.3, Transcript_T05A10.1j.4, Transcript_T05A10.1m.1	Transcript_CBG17595.1	transcript_QX1410.37987.1	1	1	1	COMPLETE	X	6192329	6209271	-	X	6128142	6145476	-	X	6176983	6194360	-
